"council_name","url","date_retrived","type","title","out_of_date"
"Aberdeen City Council","https://committees.aberdeencity.gov.uk/documents/s109158/CouncilEnergyAndClimateRoutemap%20-%20Appendix.pdf","15/02/2021","Pre-plan","Energy and Climate Plan ‘Routemap’","FALSE"
"Aberdeen City Council","https://www.aberdeencity.gov.uk/sites/default/files/2020-11/AberdeenAdaptsClimateAdaptationFrameworktextversion.pdf","","Climate strategy","Aberdeen Adapts: Aberdeen’s Climate Adaptation Framework","FALSE"
"Aberdeen City Council","https://www.aberdeencity.gov.uk/sites/default/files/2021-10/_Council%20Climate%20Change%20Plan%202021-25%20Towards%20a%20Net%20Zero%20and%20Climate%20Resilient%20Council.pdf.pdf","07/03/2022","Action plan","Climate Change Plan 2021-2025","FALSE"
"Aberdeen City Council","https://www.aberdeencity.gov.uk/sites/default/files/2021-03/Aberdeen%20Energy%20Transition%20Vision%202020_0.pdf","22/05/2021","Pre-plan","Aberdeen Energy Transition Vision","FALSE"
"Aberdeenshire Council","","","Climate strategy","","FALSE"
"Adur District Council","https://www.adur-worthing.gov.uk/media/Media,156218,smxx.pdf","","Action plan","Adur & Worthing Councils Carbon Neutral Plan","FALSE"
"Adur District Council","https://democracy.adur-worthing.gov.uk/documents/s3843/APPENDIX%204%20Draft%20Climate%20Plan%20V3.pdf","16/05/2021","Pre-plan","Draft climate plan for Adur & Worthing","FALSE"
"Adur District Council","https://democracy.adur-worthing.gov.uk/documents/s3842/2020.09.08%20-%20JSC%20-%20Collaboration%20on%20the%20climate%20emergency.pdf","16/05/2021","Progress Report","Collaboration on the climate emergency - update on the success of Adur & Worthing Climate Conference 'Zero 2030' and next steps","FALSE"
"Allerdale Borough Council","https://www-cloudfront.allerdale.gov.uk/media/filer_public/a2/bc/a2bc03b3-1f74-4be9-94d5-1d2a4b50a84f/action_plan_to_address_climate_change_final_version_april_2021.docx","16/09/2021","Action plan","Collaboration on the climate emergency - update on the success of Adur & Worthing Climate Conference 'Zero 2030' and next steps","FALSE"
"Amber Valley Borough Council","https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/DemocracyJSON.asmx/StreamCommitteeDoc?docId=19255&CommitteeRef=CNL&MeetingRef=2160&UniqueToken=&authUserName=","13/11/2020","Action plan","Carbon Reduction Management Programme and Action Plan","FALSE"
"Angus Council","https://www.angus.gov.uk/sites/default/files/2021-11/Angus%20Sustainable%20Energy%20and%20Climate%20Action%20Plan.pdf","2022-02-22","Action plan","Angus Sustainable Energy and Climate Action Plan","FALSE"
"Angus Council","https://www.angus.gov.uk/sites/default/files/2020-10/271_1.pdf","2022-02-22","Meeting minutes","Public Bodies' Climate Change Duties: Angus Council Annual Report","FALSE"
"Angus Council","https://www.angus.gov.uk/the_environment/sustainable_angus/climate_change","2022-02-22","Summary document","Climate change | Angus Council","TRUE"
"Argyll and Bute Council","https://www.argyll-bute.gov.uk/sites/default/files/decarbonisation_plan_-_final.pdf","","Action plan","Climate Commitments: Argyle and Bute Council Decarbonisation Plan 2021","TRUE"
"Arun District Council","https://democracy.arun.gov.uk/documents/s2361/Climate%20Change%20SPD%20Report.pdf","14/9/20","Pre-plan","REPORT TO AND DECISION OF PLANNING POLICY SUB-COMMITTEE ON 15 OCTOBER 2019","FALSE"
"Ashfield District Council","","","","","FALSE"
